trial,alpha,stoptime,gflag_idx,alg
7,0.1,3326,103,bonf
7,0.1,1681,103,innerprod
7,0.1,441,103,avg
8,0.01,268,51,unif
8,0.01,212,103,max
8,0.01,685,103,bonf
8,0.01,1007,103,innerprod
8,0.01,223,103,avg
8,0.020000000000000004,243,103,unif
8,0.020000000000000004,188,103,max
8,0.020000000000000004,677,103,bonf
8,0.020000000000000004,823,103,innerprod
8,0.020000000000000004,218,103,avg
8,0.030000000000000006,193,51,unif
8,0.030000000000000006,155,103,max
8,0.030000000000000006,669,103,bonf
8,0.030000000000000006,730,103,innerprod
8,0.030000000000000006,218,103,avg
8,0.04000000000000001,244,51,unif
8,0.04000000000000001,155,103,max
8,0.04000000000000001,305,103,bonf
8,0.04000000000000001,689,103,innerprod
8,0.04000000000000001,218,103,avg
8,0.05000000000000001,178,103,unif
8,0.05000000000000001,151,103,max
8,0.05000000000000001,305,103,bonf
8,0.05000000000000001,677,103,innerprod
8,0.05000000000000001,218,103,avg
8,0.06000000000000001,59,86,unif
8,0.06000000000000001,57,86,max
8,0.06000000000000001,269,103,bonf
8,0.06000000000000001,656,103,innerprod
8,0.06000000000000001,217,103,avg
8,0.07,157,51,unif
8,0.07,57,86,max
8,0.07,262,103,bonf
8,0.07,640,103,innerprod
8,0.07,217,103,avg
8,0.08,71,103,unif
8,0.08,47,86,max
8,0.08,262,103,bonf
8,0.08,612,103,innerprod
8,0.08,212,103,avg
8,0.09000000000000001,109,86,unif
8,0.09000000000000001,47,86,max
8,0.09000000000000001,262,103,bonf
8,0.09000000000000001,353,103,innerprod
8,0.09000000000000001,212,103,avg
8,0.1,96,86,unif
8,0.1,22,103,max
8,0.1,262,103,bonf
8,0.1,347,103,innerprod
8,0.1,212,103,avg
9,0.01,574,79,unif
9,0.01,284,79,max
9,0.01,2367,103,bonf
9,0.01,2231,103,innerprod
9,0.01,460,79,avg
9,0.020000000000000004,459,79,unif
9,0.020000000000000004,283,79,max
9,0.020000000000000004,2346,103,bonf
9,0.020000000000000004,2068,103,innerprod
9,0.020000000000000004,460,79,avg
9,0.030000000000000006,292,79,unif
9,0.030000000000000006,283,79,max
